r,d01_K,d01_CL,d02_K,d02_CL,d03_K,d03_CL,d04_K,d04_CL,d05_K,d05_CL,d06_K,d06_CL,d07_K,d07_CL,d08_K,d08_CL
6.8,-3.553441,23.086576,-24.138659,58.073954,-57.287905,83.813691,-86.243064,109.210792,-99.690902,128.382349,-95.282971,143.722693,-113.309371,136.617062,-150.798823,149.529927
6.9,-4.107743,22.495194,-22.103300,59.769702,-54.581372,85.673893,-87.046484,108.366289,-103.214710,126.399703,-97.583380,143.448709,-107.863628,141.735199,-146.826233,144.303068
7,-4.925178,21.648391,-21.229315,60.502496,-52.030544,87.502838,-87.960592,107.234772,-105.528768,125.236337,-99.915737,143.129540,-104.711614,145.940832,-140.939948,139.345925
7.1,-5.909477,20.686769,-21.169349,60.602384,-49.891190,89.013467,-87.793173,106.766418,-107.112984,124.499362,-102.306231,142.512519,-102.961870,149.298321,-133.459606,137.147979
7.2,-6.435378,20.199562,-21.735503,60.130612,-48.417048,89.994198,-87.124107,106.730171,-108.098675,123.927139,-104.558444,142.208416,-102.883008,151.241163,-126.321138,137.899911
7.3,-6.758675,19.918813,-22.699093,59.344162,-47.585777,90.458255,-85.330785,107.675441,-108.405203,123.809965,-106.926960,141.456263,-104.106695,151.980677,-119.744524,141.668034
7.4,-6.791052,19.946052,-24.484998,57.747315,-47.491133,90.453621,-83.344586,108.861774,-107.694425,124.257590,-109.117797,140.340157,-106.034214,151.975833,-114.311929,146.598828
7.5,-6.452073,20.344324,-26.278796,56.126524,-47.940131,89.952130,-81.587945,109.836093,-106.249399,125.241901,-110.995814,139.525290,-108.469707,151.400254,-110.832026,151.109979
7.6,-6.518255,20.311455,-27.590879,55.071157,-49.046291,88.924553,-79.586040,111.108019,-104.969356,125.888539,-112.644692,138.582800,-111.180372,150.561580,-109.342556,154.470880
7.7,-6.195449,20.687670,-28.788986,54.064776,-50.488892,87.759836,-77.959720,112.173182,-103.225541,126.881349,-113.951847,137.818795,-114.096002,149.315844,-109.630550,156.393750
7.8,-5.565233,21.352413,-30.343629,52.711038,-51.920222,86.569932,-76.135503,113.643501,-101.414865,127.818779,-115.060235,137.142822,-117.192372,147.892785,-111.017088,156.980510
7.9,-4.777660,22.163744,-31.175808,52.026162,-53.005733,85.768049,-75.101701,114.520296,-99.826283,128.500966,-115.812114,136.252497,-119.388606,146.915752,-112.823214,157.280118
8,-3.431871,23.524541,-31.591548,51.725389,-54.308733,84.809260,-74.280732,115.232281,-98.094086,129.290678,-115.948946,135.895892,-121.064702,146.298711,-115.400606,156.808144
8.1,-1.871334,25.091095,-31.524891,51.852141,-55.641668,83.697440,-74.315719,115.281285,-96.530846,130.049619,-115.097356,136.243605,-122.304738,145.881621,-117.707273,156.363179
8.2,-0.636005,26.329666,-30.746504,52.692985,-56.389228,83.172608,-74.642091,115.243492,-95.715560,130.359047,-113.551980,136.990107,-123.031943,145.780464,-120.528874,155.050686
8.3,0.489433,27.454414,-29.863737,53.594802,-57.069674,82.690502,-75.729998,114.444107,-94.983006,130.680802,-111.768357,137.904882,-123.385451,145.650845,-122.724791,154.454608
8.4,1.511790,28.466478,-29.210566,54.165221,-57.309269,82.544210,-76.816011,113.717779,-95.044714,130.474807,-110.261327,138.630031,-123.636780,145.382701,-124.486310,153.740586
8.5,2.398079,29.347625,-28.170229,55.187289,-57.007112,82.895675,-77.968886,112.922498,-95.107469,130.517251,-108.532444,139.705881,-123.155213,145.311674,-125.899666,153.159566
8.6,3.338191,30.304328,-27.070826,56.225107,-57.273392,82.609329,-79.128476,111.870871,-95.026090,130.811617,-107.054546,140.550332,-121.589293,146.207310,-127.036812,152.765159
8.7,3.619812,30.589975,-25.664477,57.568240,-56.630127,83.325085,-80.315837,110.824748,-95.546171,130.522980,-105.773262,141.337847,-120.631072,146.425193,-127.910654,152.481064
8.8,3.746133,30.702348,-24.901829,58.264285,-55.737388,84.150703,-81.123626,110.061187,-96.207109,130.123420,-105.050811,141.727248,-119.499884,146.706777,-128.566106,151.856563
8.9,3.722905,30.661320,-24.501945,58.647797,-54.934126,84.822018,-81.634950,109.692248,-96.688815,129.947230,-104.699520,141.919750,-118.236697,147.175857,-128.504713,151.711635
9,3.702510,30.631412,-24.570644,58.554555,-54.383059,85.274829,-82.070909,109.226590,-97.374366,129.626632,-104.553962,141.903802,-116.808779,147.721829,-128.318225,151.534824
9.1,3.019346,29.960576,-24.678035,58.462317,-53.798811,85.814986,-82.183597,109.173548,-98.114071,129.169226,-104.934155,141.604712,-115.736380,147.960377,-127.742308,151.451147
9.2,2.972233,29.895145,-24.212322,58.893931,-53.779285,85.809272,-82.088063,109.198418,-98.872644,128.644098,-105.671201,141.015739,-114.992349,148.142753,-127.038929,151.382553
9.3,2.509381,29.454482,-24.628210,58.523507,-53.529446,86.048949,-82.095077,109.208417,-99.576973,128.140089,-106.423851,140.413555,-113.826535,148.935410,-126.043619,151.596834
9.4,1.309121,28.255083,-25.154785,58.032383,-53.485414,86.075572,-81.714145,109.662295,-99.708756,128.142126,-107.314038,139.660034,-113.682956,148.892839,-124.897925,152.023030
9.5,0.339216,27.288484,-26.121372,57.110720,-53.790856,85.781446,-81.303800,110.021366,-100.001696,128.080569,-107.949368,139.361937,-113.829443,148.910151,-123.665688,152.486584
9.6,-0.112745,26.862189,-26.944350,56.300085,-53.891176,85.722664,-80.642014,110.755292,-99.780066,128.355814,-109.152568,138.243469,-114.345152,148.487901,-122.625570,152.589136
9.7,-1.144244,25.852587,-27.728360,55.535885,-54.309202,85.290962,-79.725262,111.729166,-99.436683,128.793860,-109.948035,137.530566,-115.022014,148.208714,-121.395845,153.283028
9.8,-1.822845,25.177826,-28.387105,54.846532,-54.764718,84.819047,-79.311252,112.041204,-99.188362,129.024652,-110.741938,136.894167,-115.491310,147.903172,-120.181614,154.201308
9.9,-2.438030,24.574595,-28.838956,54.406124,-54.876387,84.688980,-78.635528,112.594766,-99.396808,128.779415,-110.988272,136.842883,-116.468305,147.349644,-120.086493,154.206733
10,-2.773539,24.216027,-29.623486,53.607173,-55.122951,84.437177,-78.285569,112.981614,-99.056903,128.871935,-111.502848,136.400316,-117.161458,146.867124,-119.845568,154.519148
10.1,-3.348257,23.652431,-30.329248,52.882345,-55.638526,83.945055,-77.926671,113.276786,-99.276467,128.372815,-111.800988,136.365210,-117.525975,146.730271,-119.817988,154.823416
10.2,-2.983110,24.015000,-30.644354,52.532504,-55.992707,83.594216,-77.954655,113.281817,-99.056329,128.301351,-112.093458,136.169393,-118.058563,146.398050,-120.260266,154.737452
10.3,-2.996819,24.009504,-30.803460,52.349201,-56.148609,83.401236,-78.555754,112.626903,-99.196481,127.967313,-111.674135,136.686355,-118.524797,146.084977,-120.797462,154.529125
10.4,-3.152360,23.832507,-30.859577,52.291293,-56.062981,83.482283,-78.537200,112.624438,-98.848103,128.220694,-111.460318,136.887847,-118.637510,146.237519,-121.638238,153.932676
10.5,-2.945452,24.008821,-30.838912,52.310632,-56.224346,83.314266,-78.767344,112.321311,-98.809918,128.216659,-110.568054,137.742229,-118.594967,146.228938,-122.322454,153.560850
10.6,-2.713497,24.222649,-29.969272,53.184406,-55.962302,83.578644,-79.160688,111.907007,-98.902936,128.174770,-109.866084,138.368891,-118.570777,146.312811,-123.293469,152.610808
10.7,-2.068339,24.844676,-29.278190,53.840435,-55.438565,84.108432,-79.366735,111.670113,-98.931550,128.195164,-109.104387,139.088513,-118.684691,146.226210,-123.663873,152.433003
