r,d01_CL1,d01_CL2,d02_CL1,d02_CL2,d03_CL1,d03_CL2,d04_CL1,d04_CL2,d05_CL1,d05_CL2,d06_CL1,d06_CL2,d07_CL1,d07_CL2,d08_CL1,d08_CL2
11.4,9.371186,9.357823,8.782574,8.729249,8.810923,9.046618,9.706141,9.863942,9.851201,9.877163,10.796054,10.760054,11.913910,11.791122,10.426473,10.190118
11.5,9.478244,9.469329,8.972716,8.966813,8.934426,9.109877,9.582387,9.635943,9.580896,9.594650,10.964361,10.857142,11.924388,11.772623,10.539537,10.426842
11.6,9.648873,9.644256,9.050075,9.069258,9.100318,9.266197,9.798016,9.814563,9.735509,9.705764,10.805914,10.690848,11.657663,11.542122,10.799947,10.757178
11.7,10.104883,10.106367,9.145896,9.192012,9.558320,9.668622,9.767520,9.721093,9.955723,9.830979,10.982893,10.844545,11.456470,11.257562,10.627316,10.645618
11.8,10.475214,10.463014,9.241050,9.303573,9.762353,9.847204,10.282084,10.172828,9.864015,9.683415,10.603362,10.611918,10.990073,10.788424,10.446087,10.526099
11.9,10.370570,10.366261,9.511556,9.561736,9.824377,9.805378,9.696816,9.542941,9.714578,9.548367,10.241717,10.222579,10.475607,10.351815,10.716858,10.801378
12,10.499065,10.482092,10.366961,10.414898,9.464354,9.394369,9.414503,9.264186,9.445364,9.274230,10.201104,10.107522,10.005734,9.933635,10.572881,10.621730
12.1,10.643052,10.636465,10.470843,10.515121,9.467786,9.346001,9.467845,9.298180,9.386461,9.294730,9.935365,9.951700,9.924557,9.821260,10.661022,10.711535
12.2,10.701605,10.712337,10.496798,10.525439,9.610351,9.406410,9.332468,9.229261,9.320035,9.204902,9.492814,9.355853,9.665625,9.575179,10.595121,10.700814
12.3,10.831726,10.853023,10.634587,10.643387,9.905938,9.690317,9.440861,9.418393,9.627625,9.561245,9.301204,9.188667,9.721618,9.628593,10.446169,10.481091
12.4,10.607815,10.638836,10.855855,10.815720,9.763472,9.549637,9.453807,9.510689,9.996968,10.049060,9.215400,9.199197,9.655673,9.421505,10.225236,10.173274
12.5,10.506307,10.534228,10.746990,10.697340,9.544830,9.345956,9.042367,9.165909,9.355290,9.488304,9.049033,9.028626,9.459199,9.253924,10.003747,9.918000
12.6,10.298126,10.332481,10.731967,10.665187,9.103908,8.948899,8.866829,9.047408,8.956505,9.148158,8.743089,8.755397,9.507919,9.388126,10.022372,9.768844
12.7,10.151111,10.178332,10.252036,10.215536,9.012879,8.910510,8.647426,8.830976,8.565832,8.762105,8.512922,8.591421,9.201577,9.161188,9.286836,9.078252
12.8,9.282335,9.312569,9.307230,9.300736,9.099235,9.062560,8.212067,8.320327,8.317061,8.538502,8.127652,8.236778,9.001205,8.939660,9.026973,8.723031
